Yapı,Bilgi
Beylerbeyi Konağı,İstanbul’da Üsküdar’daki geleneksel Osmanlı konağıdır.
Beylerbeyi Konağı,19. yüzyıl Osmanlı sivil mimarisinin önemli örneğidir.
Beylerbeyi Konağı,Ahşap yığma tekniğiyle inşa edilmiştir.
Beylerbeyi Konağı,Haremlik-selamlık düzenine sahiptir.
Beylerbeyi Konağı,Boğaz kıyısında stratejik konumdadır.
Beylerbeyi Konağı,Geniş sofa ve odalardan oluşur.
Beylerbeyi Konağı,Osmanlı pencere dizilimini yansıtır.
Beylerbeyi Konağı,Osmanlı yaşam kültürünü sergiler.
Beylerbeyi Konağı,Restorasyonlarla korunmaktadır.
Beylerbeyi Konağı,Kültürel miras olarak ziyaretçilere açıktır.
Bosna Sokullu Mehmed Paşa Köprüsü,1577’de Mimar Sinan tarafından inşa edilmiştir.
Bosna Sokullu Mehmed Paşa Köprüsü,UNESCO Dünya Mirası listesindedir.
Bosna Sokullu Mehmed Paşa Köprüsü,Drina Nehri üzerinde yer alır.
Bosna Sokullu Mehmed Paşa Köprüsü,11 kemerli taş köprüdür.
Bosna Sokullu Mehmed Paşa Köprüsü,Kesme taş işçiliğiyle öne çıkar.
Bosna Sokullu Mehmed Paşa Köprüsü,"179,5 metre uzunluğa sahiptir."
Bosna Sokullu Mehmed Paşa Köprüsü,Balkan ulaşımında tarihsel rol oynamıştır.
Bosna Sokullu Mehmed Paşa Köprüsü,Osmanlı klasik mimarisinin zirvesidir.
Bosna Sokullu Mehmed Paşa Köprüsü,Sokullu Mehmed Paşa tarafından yaptırılmıştır.
Bosna Sokullu Mehmed Paşa Köprüsü,Ivo Andrić’in ünlü romanına konu olmuştur.
Demirciler Konağı,Kocaeli’de yer alan Osmanlı dönemi konağıdır.
Demirciler Konağı,18. yüzyıl sivil mimarisini temsil eder.
Demirciler Konağı,İki katlıdır ve geniş sofa düzenine sahiptir.
Demirciler Konağı,Bağdadi ve ahşap yığma teknikle yapılmıştır.
Demirciler Konağı,Selamlık-haremlik ayrımı bulunur.
Demirciler Konağı,Geleneksel Osmanlı pencereleri içerir.
