bilgi
Sokollu Mehmed Paşa Köprüsü, Osmanlı sadrazamı Sokollu Mehmed Paşa adına yaptırılmıştır.
Köprünün mimarı, Osmanlı'nın en büyük mimarı olan Mimar Sinan’dır.
Köprü 1571–1577 yılları arasında inşa edilmiştir.
Köprü, Bosna-Hersek’te Drina Nehri üzerinde yer alır (bugün Višegrad şehri).
Toplam uzunluğu yaklaşık 179,5 metredir ve 11 büyük kemerden oluşur.
Köprüdeki en büyük kemerin açıklığı yaklaşık 15 metredir.
Köprü, beyaz kesme taş kullanılarak inşa edilmiştir ve klasik Osmanlı taş köprü mimarisinin başyapıtlarından biridir.
Mimar Sinan, köprüyü nehir taşkınlarına dayanıklı olacak şekilde eğimli bir platformla tasarlamıştır.
Köprü girişinde Mimar Sinan'ın mühendislik yeteneğini gösteren bir “taş kitabe” bulunmaktadır.
UNESCO, köprüyü 2007 yılında Dünya Mirası Listesi’ne almıştır.
Köprü, Ivo Andrić’in Nobel ödüllü ünlü romanı “Drina Köprüsü”ne konu olmuştur.
Yapı, bölgenin Osmanlı dönemindeki en önemli ulaşım ve ticaret bağlantılarından biriydi.
Osmanlı devlet mimarisinin teknik, estetik ve mühendislik açısından en başarılı köprülerinden biridir.
Yıllar içinde savaşlar ve coğrafi koşullar nedeniyle hasar görmüş, farklı dönemlerde restore edilmiştir.
