sahne_adi;originRealX;originRealZ;originRealy;kod
afyon;38.7538;30.5385;15.125;https://tangrams.github.io/heightmapper/#15.125/38.7538/30.5385
balikesir;39.6487;27.8773;17;https://tangrams.github.io/heightmapper/#17/39.6487/27.8773
bilecik;40.1312;29.9605;13.875;https://tangrams.github.io/heightmapper/#13.875/40.1312/29.9605
bosna;43.7799;19.2868;14.29167;https://tangrams.github.io/heightmapper/#14.29167/43.7799/19.2868
bursa;40.1814;29.0723;17;https://tangrams.github.io/heightmapper/#17/401814/290723
canakkale;40.1743;26.4362;11.375;https://tangrams.github.io/heightmapper/#11.375/40.1743/26.4362
istanbul;41.0222;28.9743;13.79167;https://tangrams.github.io/heightmapper/#13.79167/41.0222/28.9743
kirklareli;41.6545;27.4256;10.75;https://tangrams.github.io/heightmapper/#10.75/41.6545/27.4256
kocaeli;40.7686;29.9163;14.29167;https://tangrams.github.io/heightmapper/#14.29167/40.7686/29.9163
konya;37.8705;32.5014;17;https://tangrams.github.io/heightmapper/#17/37.8705/32.5014
manisa;38.6105;27.4256;17;https://tangrams.github.io/heightmapper/#17/38.6105/27.4256
limasol;34.6726;33.0296;15.5;https://tangrams.github.io/heightmapper/#15.5/34.6726/33.0296
edirne;41.6545;27.4256;10.75;https://tangrams.github.io/heightmapper/#10.75/41.6545/27.4256
