bilgi
Bursa Yeşil Türbe, Osmanlı Devleti’nin beşinci padişahı olan I. Mehmed (Çelebi Mehmed) için yaptırılmış anıtsal bir türbedir.
Türbe, padişahın vefatından sonra 1421 yılında oğlu II. Murad tarafından inşa ettirilmiştir.
Mimarı, erken Osmanlı mimarisinin önemli isimlerinden Hacı İvaz Paşadır.
Yapı, sekizgen planlı bir gövde üzerine oturtulmuş olup, yüksek bir kaide üzerinde yükselir.
Türbenin dış yüzeyi, yapıya adını veren firuze ve yeşil tonlardaki çinilerle kaplanmıştır.
Bu dış çini süslemeleri, erken Osmanlı çini sanatının en nitelikli örnekleri arasında kabul edilir.
Giriş kapısı ahşap oyma işçiliği bakımından oldukça değerlidir ve kündekârî tekniği ile yapılmıştır.
İç mekân duvarları firuze, lacivert ve beyaz renklerin hâkim olduğu çini kaplamalarla bezelidir.
Türbenin tam ortasında Çelebi Mehmed’in sandukası, çevresinde ise ailesine ait toplam dokuz sanduka bulunmaktadır.
Sandukalar üzerindeki kalem işi süslemeler ve yazılar 19. yüzyıldaki onarımlar sırasında yenilenmiştir.
Türbenin içindeki çiniler, İznik değil Bursa ve Kütahya atölyelerinde üretilmiştir.
Yapının üst kısmı kubbe ile örtülüdür; kubbenin iç yüzeyi kalem işi süslemelerle bezenmiştir.
Yeşil Türbe, Yeşil Camii ile birlikte erken Osmanlı mimarisinin en görkemli külliye örneklerinden biridir.
Bursa’nın siluetine damga vuran türbe, döneminin sanat anlayışını yansıtan önemli bir eserdir.
