bilgi
Süleymaniye Camii, İstanbul’un Fatih ilçesinde, Haliç’e bakan bir tepede yer alır.
Caminin mimarı, Osmanlı’nın en ünlü mimarı olan Mimar Sinan’dır.
Yapı, Kanuni Sultan Süleyman’ın emriyle 1550–1557 yılları arasında inşa edilmiştir.
Mimar Sinan, Süleymaniye Camii’ni “kalfalık eserim” olarak tanımlamıştır.
Cami, klasik Osmanlı mimarisinin en görkemli ve en dengeli örneklerinden biridir.
Merkez kubbe çapı 26,5 metre, yüksekliği ise 53 metre olup dönemin en büyük kubbeleri arasındadır.
Camide dört minare bulunur; bu, Kanuni’nin Osmanlı’nın dördüncü padişahı olduğunu simgeler.
Minarelerde toplam 10 şerefe vardır; bu da Kanuni’nin Osmanlı’nın 10. padişahı olduğuna işaret eder.
Süleymaniye Külliyesi, camiyle birlikte medrese, kütüphane, hamam, darüşşifa, imarethane ve türbelerden oluşur.
Kanuni Sultan Süleyman ve Hürrem Sultan’ın türbeleri cami avlusundadır.
Caminin akustiği, Sinan’ın ses mühendisliği teknikleri sayesinde hiç elektronik sistem olmadan mükemmel seviyededir.
Mimar Sinan, rutubeti önlemek ve hava akımı sağlamak için camiyi özel bir havalandırma sistemi ile tasarlamıştır.
Kandil islerinden mürekkep elde edilen is odası, yapının bilimsel yeniliklerinden biridir.
Cami, İstanbul’un silüetini belirleyen en önemli yapılar arasında kabul edilir.
Süleymaniye, UNESCO Dünya Mirası Listesi'nde yer alan “İstanbul Tarihî Yarımadası” içinde değerlendirilir.
