Yapı Adı,Bilgi
"1450’lerden 19. yüzyıl ortalarına kadar Osmanlı padişahlarının ana sarayı olmuştur."
"Fatih Sultan Mehmet, İstanbul’un fethinden kısa süre sonra sarayın yapımını başlatmıştır."
"Marmara, Haliç ve Boğaz’a bakan sarayburnu yarımadasında konumlanır."
"Dört ana avlu ve bunları çevreleyen köşkler, divan yapıları ve hizmet binalarından oluşur."
"Harem bölümü, padişah ailesinin yaşadığı ve sıkı kurallarla işleyen kapalı bir dünyadır."
"Enderun avlusu, yüksek eğitim gören saray görevlilerinin yetiştirildiği alandır."
"Kutsal Emanetler Dairesi, İslam dünyası için önemli sayılan emanetleri barındırır."
"Mimari, yüzyıllar boyunca farklı sultanların ekleriyle organik biçimde büyümüştür."
"Cumhuriyet döneminde müze saray olarak halka açılan ilk büyük saraydır."
"Bugün Osmanlı yönetim, tören ve günlük yaşam kültürünü görselleştiren bir açıkhava kompleksi gibidir."
