Yapı Adı,Bilgi
Kilitbahir Kalesi,"Çanakkale Boğazı’nın Rumeli yakasında, boğaz girişini kontrol eden Osmanlı kalesidir."
Kilitbahir Kalesi,"Fatih Sultan Mehmet tarafından İstanbul’un fethinden sonra, boğaz savunması için yaptırılmıştır."
Kilitbahir Kalesi,"Yonca yaprağı biçimli iç kale planı ile diğer Osmanlı kalelerinden ayrılır."
Kilitbahir Kalesi,"Kalın sur duvarları ve burçları, toplu saldırılara karşı savunma amaçlı tasarlanmıştır."
Kilitbahir Kalesi,"Karşısındaki Çimenlik Kalesi ile birlikte boğazı çapraz ateş altına alacak konumdadır."
Kilitbahir Kalesi,"I. Dünya Savaşı sırasında Çanakkale cephesinin önemli savunma noktalarından biri olmuştur."
Kilitbahir Kalesi,"Günümüzde kale içinde müze düzenlemeleri ve sergi alanları bulunmaktadır."
Kilitbahir Kalesi,"Ziyaretçiler surlara çıkarak boğaz manzarasını geniş açıdan görebilir."
Kilitbahir Kalesi,"Kale, Osmanlı kıyı savunma mimarisinin gelişimini gösteren ana örneklerdendir."
Kilitbahir Kalesi,"Restorasyon ve çevre düzenlemeleriyle kültürel miras olarak korunmaktadır."
