Yapı Adı,Bilgi
Galata Kulesi,"İstanbul Beyoğlu’nda, Haliç’e bakan bir tepede yükselir."
Galata Kulesi,"Kule, Ortaçağ’da Cenevizliler tarafından inşa edilmiş, Osmanlı döneminde onarımlar görmüştür."
Galata Kulesi,"Silindirik gövdesi ve konik külahı ile İstanbul siluetinin simgelerindendir."
Galata Kulesi,"Osmanlı döneminde uzun süre yangın gözetleme kulesi olarak kullanılmıştır."
Galata Kulesi,"Hezarfen Ahmed Çelebi’nin kanatla uçuş deneyi bu kuleyle ilişkilendirilir."
Galata Kulesi,"Alt kattaki mekânlar geçmişte depo, zindan ve gözetleme alanı olarak hizmet vermiştir."
Galata Kulesi,"Restorasyonlarla birlikte iç mekânlar günümüzde turistik kullanım için düzenlenmiştir."
Galata Kulesi,"Seyir terasından Haliç, Tarihi Yarımada ve Boğaz panoraması izlenebilir."
Galata Kulesi,"Kule, Bizans–Ceneviz mirası ile Osmanlı dönemini birleştiren nadir yapılardan biridir."
Galata Kulesi,"UNESCO kapsamındaki tarihi alanlarla bütünleşen önemli bir kent simgesidir."
