Yapı Adı,Bilgi
Kız Kulesi,"İstanbul Boğazı’nda Üsküdar açıklarındaki küçük adacık üzerinde yer alır."
Kız Kulesi,"Bizans dönemine kadar giden bir geçmişi olsa da, bugünkü hâli ağırlıkla Osmanlı döneminde şekillenmiştir."
Kız Kulesi,"Tarih boyunca deniz feneri, savunma kulesi, karantina istasyonu gibi farklı amaçlarla kullanılmıştır."
Kız Kulesi,"Taş kaide üzerine oturan çok katlı bir kule yapısından oluşur."
Kız Kulesi,"Boğaz trafiğini kontrol eden noktalardan biri olarak stratejik öneme sahipti."
Kız Kulesi,"Hakkında pek çok efsane ve aşk hikâyesi anlatıldığından sembolik değeri yüksektir."
Kız Kulesi,"Çevresindeki manzara, İstanbul’un en çok fotoğraflanan kartpostal görüntülerindendir."
Kız Kulesi,"Son restorasyonlarla yapının hem statik güvenliği hem de dış cephesi yenilenmiştir."
Kız Kulesi,"Günümüzde restoran, kafeterya ve müze işlevleriyle turistik bir çekim merkezidir."
Kız Kulesi,"İstanbul’un hem Osmanlı hem Cumhuriyet dönemini temsil eden zamansız bir simgesidir."
