Yapı Adı,Bilgi
Süleymaniye Camii,"Kanuni Sultan Süleyman adına 16. yüzyılda inşa edilmiştir."
Süleymaniye Camii,"Mimar Sinan’ın 'kalfalık eserim' dediği yapıdır."
Süleymaniye Camii,"İstanbul’un Haliç’e bakan tepelerinden birinde yer alarak kente hâkim bir manzara sunar."
Süleymaniye Camii,"Merkezi kubbe, yan yarım kubbeler ve payandalarla dengelenmiş klasik bir plana sahiptir."
Süleymaniye Camii,"Külliye içinde medreseler, kütüphane, hamam, darüşşifa ve imaret bulunur."
Süleymaniye Camii,"Kanuni Sultan Süleyman ve Hürrem Sultan’ın türbeleri de burada yer alır."
Süleymaniye Camii,"Akustik düzeni ve iç mekân ışığı, uzun mimari hesaplamalarla kurgulanmıştır."
Süleymaniye Camii,"Cami, klasik Osmanlı mimarisinin en olgun örneklerinden biri kabul edilir."
Süleymaniye Camii,"Yüzyıllar boyunca İstanbul’un bilim ve sosyal yardım merkezlerinden biri olmuştur."
Süleymaniye Camii,"Günümüzde de hem ibadet hem turistik gezi amacıyla yoğun ziyaret almaktadır."
