Yapı Adı,Bilgi
Sultan Ahmet Camii,"İstanbul’da Ayasofya’nın karşısında, tarihi yarımadada yer alır."
Sultan Ahmet Camii,"17. yüzyıl başında Sultan I. Ahmed tarafından yaptırılmıştır."
Sultan Ahmet Camii,"Mimarı, Mimar Sinan’ın öğrencisi olan Sedefkâr Mehmed Ağa’dır."
Sultan Ahmet Camii,"İç mekânda yoğun mavi İznik çinileri kullanıldığı için 'Mavi Cami' olarak da bilinir."
Sultan Ahmet Camii,"Altı minaresiyle Osmanlı camileri arasında özel bir konuma sahiptir."
Sultan Ahmet Camii,"Geniş avlusu ve revaklı düzeni, büyük bir külliye merkezini tamamlar."
Sultan Ahmet Camii,"Cami kompleksi içinde medrese, imaret ve türbe gibi yapılar yer alır."
Sultan Ahmet Camii,"Plan şeması, merkezi kubbe ve yarım kubbelerle dengelenmiş geniş bir harim mekânıdır."
Sultan Ahmet Camii,"Günümüzde hem ibadet için hem de turistik ziyaretler için en yoğun kullanılan camilerden biridir."
Sultan Ahmet Camii,"İstanbul’un dünyaca bilinen tarihî siluetinin ayrılmaz bir parçasıdır."
