Yapı Adı,Bilgi
Topkapı Sarayı,"1450’lerden 19. yüzyıl ortalarına kadar Osmanlı padişahlarının ana sarayı olmuştur."
Topkapı Sarayı,"Fatih Sultan Mehmet, İstanbul’un fethinden kısa süre sonra sarayın yapımını başlatmıştır."
Topkapı Sarayı,"Marmara, Haliç ve Boğaz’a bakan sarayburnu yarımadasında konumlanır."
Topkapı Sarayı,"Dört ana avlu ve bunları çevreleyen köşkler, divan yapıları ve hizmet binalarından oluşur."
Topkapı Sarayı,"Harem bölümü, padişah ailesinin yaşadığı ve sıkı kurallarla işleyen kapalı bir dünyadır."
Topkapı Sarayı,"Enderun avlusu, yüksek eğitim gören saray görevlilerinin yetiştirildiği alandır."
Topkapı Sarayı,"Kutsal Emanetler Dairesi, İslam dünyası için önemli sayılan emanetleri barındırır."
Topkapı Sarayı,"Mimari, yüzyıllar boyunca farklı sultanların ekleriyle organik biçimde büyümüştür."
Topkapı Sarayı,"Cumhuriyet döneminde müze saray olarak halka açılan ilk büyük saraydır."
Topkapı Sarayı,"Bugün Osmanlı yönetim, tören ve günlük yaşam kültürünü görselleştiren bir açıkhava kompleksi gibidir."
