bilgi
Zağnos Paşa tarafından 15. yüzyılda yaptırılmıştır.
Osmanlı klasik dönem cami mimarisinin sade örneklerindendir.
Cami, tek kubbeli yapısıyla bölgedeki diğer camilerden ayrılır.
İç mekanda kalem işi süslemeler bulunur.
Minberi ahşap işçiliğinin zarif örneklerini taşır.
Avlusunda eski dönem mezar taşları yer alır.
Yapı yıllar içinde çeşitli restorasyonlardan geçmiştir.
Cami, Balıkesir’in tarihi çekirdeğinin önemli parçalarındandır.
Bölge halkı tarafından aktif olarak kullanılmaktadır.
Geleneksel Osmanlı şehir camisi planının tipik bir örneğidir.
